category,map,problem_id,w,reexpansion,opened,closed,expanded,reopened,path_length,dist,expected_dist,correct,time
random,random512-15-0.map,771308,1.1,True,681,301,1777,5,163,178.1543289325507,175.32590179,False,0.004885081800057378
maze,maze512-16-6.map,886451,5.0,False,22559,10398,78899,0,533,607.8010819142775,514.16147156,False,0.03960878659981972
sc1,EbonLakes.map,519726,1.05,True,152536,77611,603462,23862,555,677.4356415871853,677.43564148,True,0.355661806200078
sc1,IceFloes.map,525488,5.0,True,39497,23836,180159,16727,528,633.0386719675145,600.79603119,False,0.09828060319996439
bgmaps,AR0505SR.map,353848,2.0,False,1427,529,3875,0,97,122.92388155425107,122.92388153,True,0.0020560348000799424
sc1,Elderlands.map,537867,100.0,False,47590,24120,187267,0,820,987.5849198858535,887.18289947,False,0.11512590719994478
street,NewYork_0_512.map,83366,5.0,False,1716,444,3117,0,385,512.4062043356619,474.13917694,False,0.0024955918001069223
sc1,EbonLakes.map,519726,5.0,True,216653,150559,1164234,135416,680,815.2762620207516,677.43564148,False,0.6937783108000076
bgmaps,AR0529SR.map,327697,1.2,False,124,43,285,0,26,30.798989873223338,29.97056274,False,0.000175549800042063
bgmaps,AR0529SR.map,327697,100.0,False,119,42,235,0,35,41.04163056034262,29.97056274,False,0.00026005180006904993
random,random512-10-3.map,746092,10.0,False,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.0021376173999669845
random,random512-10-0.map,792765,1.2,False,1764,532,3457,0,441,543.5533905932758,534.18080749,False,0.002669023599992215
bgmaps,AR0529SR.map,327697,2.0,True,138,46,307,6,26,31.62741699796953,29.97056274,False,0.00019186580011592013
sc1,IceFloes.map,525488,5.0,False,15481,7357,55536,0,558,668.0092347159915,600.79603119,False,0.03274376080007642
street,NewYork_0_512.map,83366,100.0,False,1696,432,3024,0,385,512.4062043356619,474.13917694,False,0.002494547800051805
bgmaps,AR0505SR.map,353848,1.1,True,12280,6872,51726,3729,97,122.92388155425107,122.92388153,True,0.025688584199997422
bgmaps,AR0529SR.map,327697,5.0,True,144,49,310,8,27,33.041630560342625,29.97056274,False,0.00020237740009179105
maze,maze512-1-3.map,1045672,1.5,True,556,552,1107,0,248,247.0,247.0,True,0.005828461799865181
street,NewYork_0_512.map,83366,1.0,False,53935,21246,167848,0,372,474.1391770309024,474.13917694,True,0.10308090359994822
bgmaps,AR0013SR.map,348042,1.05,True,278,123,783,3,38,42.798989873223334,42.79898987,True,0.00043105099994136256
maze,maze512-16-6.map,886451,5.0,True,87850,55385,418522,45326,482,543.9604614807116,514.16147156,False,0.23754347960002634
bgmaps,AR0013SR.map,348042,10.0,False,132,53,318,0,41,46.21320343559642,42.79898987,False,0.00020080039994354592
sc1,IceFloes.map,525488,10.0,False,13099,6129,46361,0,558,668.0092347159915,600.79603119,False,0.02402225420009927
maze,maze512-8-6.map,1192401,1.5,True,130562,82387,597320,35890,1323,1546.917964368596,1543.60425567,False,0.36571232179994695
bgmaps,AR0529SR.map,327697,1.1,False,127,46,312,0,26,29.970562748477146,29.97056274,True,0.00018285340011061634
maze,maze512-8-6.map,1192401,1.05,False,77247,48264,349777,0,1323,1547.7463914933421,1543.60425567,False,0.233684772199922
sc1,Elderlands.map,537867,5.0,False,3929,1185,8761,0,726,914.2955980045087,887.18289947,False,0.016816415399989636
sc1,EbonLakes.map,519726,3.0,True,395048,322099,2517115,303630,677,780.3818177180225,677.43564148,False,1.295236991999991
street,London_2_256.map,178997,1.05,False,74,23,184,0,24,23.0,23.0,True,0.00015960040000209119
sc1,IceFloes.map,525488,1.2,True,136084,72074,550722,33887,497,604.10973977938,600.79603119,False,0.29948359159989196
street,Boston_0_256.map,81872,100.0,True,14233,10466,74558,8985,246,314.58787847868086,259.14927826,False,0.03767184779990203
bgmaps,AR0505SR.map,353848,1.5,True,7709,4056,30520,3128,97,122.92388155425107,122.92388153,True,0.016414052399886712
sc1,Elderlands.map,537867,3.0,True,4334,1399,10255,188,711,902.1950929411204,887.18289947,False,0.017458681400057685
maze,maze512-16-6.map,886451,1.05,True,58522,31030,236970,6192,458,514.1614716074881,514.16147156,True,0.16281268039983843
bgmaps,AR0505SR.map,353848,1.0,True,8539,4056,30424,398,97,122.92388155425107,122.92388153,True,0.016538262800168013
maze,maze512-16-6.map,886451,2.0,True,112041,78848,601244,64951,458,519.1320343559653,514.16147156,False,0.35877508480007236
sc1,IceFloes.map,525488,100.0,False,11127,5133,38871,0,558,668.0092347159915,600.79603119,False,0.021190235799986114
random,random512-15-0.map,771308,1.1,False,691,308,1834,0,163,178.9827560572969,175.32590179,False,0.0017829005999374203
street,NewYork_0_512.map,83366,10.0,True,1734,451,3146,14,383,511.2346314604081,474.13917694,False,0.0028581642000062857
random,random512-10-3.map,746092,1.2,False,1537,495,3110,0,378,462.32799384885936,448.02647857,False,0.0026492847999179505
maze,maze512-1-3.map,1045672,5.0,True,341,333,673,0,248,247.0,247.0,True,0.0037072244000228237
sc1,IceFloes.map,525488,3.0,False,19903,8940,67341,0,534,640.6955262170068,600.79603119,False,0.03537198180001724
random,random512-10-0.map,792765,1.5,False,1682,497,3165,0,447,547.8965363437835,534.18080749,False,0.005014385600043169
maze,maze512-1-3.map,1045672,1.2,True,714,710,1423,0,248,247.0,247.0,True,0.00510675599998649
street,NewYork_0_512.map,83366,1.5,True,4118,1568,11293,781,380,503.6782822743039,474.13917694,False,0.0070710853999116806
sc1,EbonLakes.map,519726,1.0,True,121908,59497,461289,1055,555,677.4356415871853,677.43564148,True,0.21030664819991216
bgmaps,AR0013SR.map,348042,5.0,True,140,57,338,4,39,44.21320343559643,42.79898987,False,0.00021675179996236694
maze,maze512-8-6.map,1192401,1.0,False,78704,48557,351928,0,1323,1543.604255869611,1543.60425567,True,0.17761007680001056
street,NewYork_0_512.map,83366,1.2,True,5789,2305,17235,1298,372,476.624458405141,474.13917694,False,0.010069872999883956
maze,maze512-8-6.map,1192401,2.0,False,73583,43982,318618,0,1323,1580.8834764831906,1543.60425567,False,0.1884128575999057
random,random512-10-3.map,746092,5.0,False,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.002116694600044866
sc1,EbonLakes.map,519726,10.0,False,32644,13921,106951,0,784,908.5067093990506,677.43564148,False,0.057673183999941105
maze,maze512-1-3.map,1045672,1.0,False,729,725,1453,0,248,247.0,247.0,True,0.004916344800039951
random,random512-15-0.map,771308,5.0,False,513,187,1092,0,169,193.26702730475887,175.32590179,False,0.0014289057999121724
sc1,EbonLakes.map,519726,2.0,True,553697,324054,2534504,297243,676,743.3452377915623,677.43564148,False,1.1642749200000253
random,random512-15-0.map,771308,100.0,True,513,187,1092,0,169,193.26702730475887,175.32590179,False,0.004522233799980313
street,Boston_0_256.map,81872,1.2,False,22391,11931,87071,0,215,263.2914139223989,259.14927826,False,0.060667427199950906
